보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-23,2026-03-30,20251117_트래픽_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3369,3.411992,,캠페인 예산 사용,0,147871,진행 중,-,-,-,11495,12863.940844,496,,298.127016,4.31492,416,3.618965,355.459135,393,376.262087
2026-03-23,2026-03-30,무료배송+5%할인_이미지1,active,KRW,클릭 후 7일 또는 조회 후 1일,,,900,2.164444,,캠페인 예산 사용,0,27663,진행 중,-,-,-,1948,14200.718686,35,,790.371429,1.796715,35,1.796715,790.371429,20,1383.150000
2026-03-23,2026-03-30,뽁뽁이사는돈_이미지1,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3427,2.322148,,캠페인 예산 사용,0,108252,진행 중,-,-,-,7958,13602.915305,96,,1127.625,1.206333,118,1.482785,917.389831,64,1691.437500
2026-03-23,2026-03-30,쿠팡업체도_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,759,2.832675,,캠페인 예산 사용,0,26180,진행 중,-,-,-,2150,12176.744186,140,,187,6.511628,121,5.627907,216.363636,63,415.555556
2026-03-23,2026-03-30,파손제로_이미지1_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,36,1.027778,,캠페인 예산 사용,0,1428,진행 중,-,-,-,37,38594.594595,1,,1428,2.702703,2,5.405405,714,,
2026-03-23,2026-03-30,포장만바꿔도_이미지2_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,139,1.208633,,캠페인 예산 사용,0,5110,진행 중,-,-,-,168,30416.666667,1,,5110,0.595238,3,1.785714,1703.333333,,
2026-03-23,2026-03-30,포장만바꿔도_이미지3_0320,active,KRW,클릭 후 7일 또는 조회 후 1일,,,6529,2.14964,,캠페인 예산 사용,0,181832,진행 중,-,-,-,14035,12955.610973,140,,1298.8,0.997506,180,1.282508,1010.177778,88,2066.272727
2026-03-23,2026-03-30,포장만바꿔도_동영상_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,26,1.230769,,캠페인 예산 사용,0,1016,진행 중,-,-,-,32,31750,1,,1016,3.125,0,0,,,
2026-03-23,2026-03-30,파손클래임_롱버전_이미지1_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,31,1.032258,,캠페인 예산 사용,0,1078,진행 중,-,-,-,32,33687.5,1,,1078,3.125,3,9.375,359.333333,,
2026-03-23,2026-03-30,포장이브랜드_동영상_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,0,0,,캠페인 예산 사용,0,0,진행 중,-,-,-,0,0,0,,,,0,0,,,
2026-03-23,2026-03-30,포장이브랜드_슬라이드_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,64,1.328125,,캠페인 예산 사용,0,2355,진행 중,-,-,-,85,27705.882353,3,,785,3.529412,4,4.705882,588.75,2,1177.500000
