보고 시작,보고 종료,광고 이름,광고 게재,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (USD),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (USD)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (USD),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (USD),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (USD),결제 시작,구매,구매 ROAS(광고 지출 대비 수익률),구매 전환값,구매당 비용 (USD),등록완료,등록완료 전환값,행동 유형당 비용 등록완료,등록 완료,등록 완료 전환값,등록 완료당 비용 (USD),소재타입,리드당_비용
2026-02-03,2026-03-04,잠재고객_왜이렇게비싸야하나_단일이미지,inactive,~,,,0,0.0,,캠페인 예산 사용,0,0.0,진행 중,-,-,-,0,0.0,,,,,0,0.0,0.0,,,,,,,,,,,,,,단일이미지,
2026-02-03,2026-03-04,잠재고객_KC인증_단일이미지,inactive,~,,,0,0.0,,캠페인 예산 사용,0,0.0,진행 중,-,-,-,0,0.0,,,,,0,0.0,0.0,,,,,,,,,,,,,,단일이미지,
2026-02-03,2026-03-04,잠재고객_단2일이면충분_단일이미지,inactive,클릭 후 7일 또는 조회 후 1일,35.0,actions:lead,18040,1.733537,8.33485714,캠페인 예산 사용,0,291.72,진행 중,-,-,-,31273,9.328174,777.0,,0.375444,2.484571,950,3.037764,0.307074,,,,,,,,,,,,,,단일이미지,8.334857142857144
2026-02-03,2026-03-04,잠재고객_20년욕실교체_영상,inactive,~,,,0,0.0,,캠페인 예산 사용,0,0.0,진행 중,-,-,-,0,0.0,,,,,0,0.0,0.0,,,,,,,,,,,,,,영상,
2026-02-03,2026-03-04,잠재고객_KC인증_단일이미지_이미지교체,active,클릭 후 7일 또는 조회 후 1일,14.0,actions:lead,5691,1.804604,11.065,캠페인 예산 사용,0,154.91,진행 중,-,-,-,10270,15.083739,303.0,,0.511254,2.950341,360,3.505355,0.430306,,,,,,,,,,,5.0,0.0,30.982,단일이미지,11.065
2026-02-03,2026-03-04,260220_잠재고객_100만원대초반_이미지1,inactive,클릭 후 7일 또는 조회 후 1일,,,140,1.142857,,캠페인 예산 사용,0,4.37,진행 중,-,-,-,160,27.3125,9.0,,0.485556,5.625,8,5.0,0.54625,,,,,,,,,,,,,,단일이미지,
2026-02-03,2026-03-04,260220_잠재고객_리모델링고민중?_슬라이딩,inactive,클릭 후 7일 또는 조회 후 1일,1.0,actions:lead,7,1.285714,0.24,캠페인 예산 사용,0,0.24,진행 중,-,-,-,9,26.666667,2.0,,0.12,22.222222,3,33.333333,0.08,,,,,,,,,,,,,,슬라이딩,0.24
2026-02-03,2026-03-04,260220_잠재고객_욕실을바꾸고_이미지2,active,클릭 후 7일 또는 조회 후 1일,,,70,1.2,,캠페인 예산 사용,0,1.17,진행 중,-,-,-,84,13.928571,5.0,,0.234,5.952381,6,7.142857,0.195,,,,,,,,,,,,,,단일이미지,
2026-02-03,2026-03-04,260220_잠재고객_평당100만원으로_이미지3,active,클릭 후 7일 또는 조회 후 1일,,,101,1.168317,,캠페인 예산 사용,0,1.68,진행 중,-,-,-,118,14.237288,3.0,,0.56,2.542373,4,3.389831,0.42,,,,,,,,,,,,,,단일이미지,
2026-02-03,2026-03-04,260220_잠재고객_저렴하면_슬라이딩,inactive,클릭 후 7일 또는 조회 후 1일,5.0,actions:lead,1929,1.33437,5.892,캠페인 예산 사용,0,29.46,진행 중,-,-,-,2574,11.445221,63.0,,0.467619,2.447552,83,3.224553,0.35494,,,,,,,,,,,,,,슬라이딩,5.892
2026-02-03,2026-03-04,260220_잠재고객_구축리모델링_이미지4,active,클릭 후 7일 또는 조회 후 1일,1.0,actions:lead,109,1.027523,1.6,캠페인 예산 사용,0,1.6,진행 중,-,-,-,112,14.285714,4.0,,0.4,3.571429,4,3.571429,0.4,,,,,,,,,,,,,,단일이미지,1.6
2026-02-03,2026-03-04,260220_잠재고객_구축아파트_영상,active,클릭 후 7일 또는 조회 후 1일,65.0,actions:lead,8687,2.049154,4.07553846,캠페인 예산 사용,0,264.91,진행 중,평균 이상,-,-,17801,14.881748,405.0,,0.654099,2.275153,638,3.584068,0.415219,,,,,,,,,,,,,,영상,4.0755384615384616
