보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (USD),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (USD)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (USD),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (USD),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (USD),리드당_비용
2026-03-25,2026-03-26,251104_실프_감성에어로웨이,251002_실프_실링팬_판매,실프_실링펜_운영1_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,2554,1.191464,,캠페인 예산 사용,0,33.38,진행 중,-,-,-,3043,10.969438,143,,0.233427,4.69931,178,5.849491,0.187528,131.0,0.254809,
2026-03-25,2026-03-26,260106_엘리_거실분위기_단일이미지,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,616,1.196429,,캠페인 예산 사용,0,11.41,진행 중,-,-,-,737,15.481683,39,,0.292564,5.291723,43,5.834464,0.265349,35.0,0.326,
2026-03-25,2026-03-26,250106_실프_오동나무느낌,251002_실프_실링팬_판매,실프_실링펜_운영1_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,983,1.155646,,캠페인 예산 사용,0,12.99,진행 중,-,-,-,1136,11.434859,68,,0.191029,5.985915,86,7.570423,0.151047,67.0,0.193881,
2026-03-25,2026-03-26,260202_엘리_설치한번으로 공간이,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,16,1.125,,캠페인 예산 사용,0,0.32,진행 중,-,-,-,18,17.777778,0,,,,1,5.555556,0.32,,,
2026-03-25,2026-03-26,260202_엘리_날개가다르면,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,55,1.218182,,캠페인 예산 사용,0,1.46,진행 중,-,-,-,67,21.791045,0,,,,2,2.985075,0.73,,,
2026-03-25,2026-03-26,260304_엘리_인테리어내용_이미지2,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,1,1.0,,캠페인 예산 사용,0,0.02,진행 중,-,-,-,1,20.0,0,,,,0,0.0,,,,
2026-03-25,2026-03-26,260304_실프_설치한번으로 공간이_이미지4,251002_실프_실링팬_판매,실프_실링펜_운영1_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,129,1.255814,,캠페인 예산 사용,0,3.68,진행 중,-,-,-,162,22.716049,7,,0.525714,4.320988,9,5.555556,0.408889,7.0,0.525714,
2026-03-25,2026-03-26,250304_실프_요즘대세는_이미지3,251002_실프_실링팬_판매,실프_실링펜_운영1_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,120,1.225,,캠페인 예산 사용,0,2.67,진행 중,-,-,-,147,18.163265,9,,0.296667,6.122449,10,6.802721,0.267,9.0,0.296667,
2026-03-25,2026-03-26,260304_실프_인테리어고수_영상,251002_실프_실링팬_판매,실프_실링펜_운영1_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,1,1.0,,캠페인 예산 사용,0,0.03,진행 중,-,-,-,1,30.0,0,,,,0,0.0,,,,
2026-03-25,2026-03-26,260312_엘리_설치한번으로 공간이_이미지1,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,540,1.27963,,캠페인 예산 사용,0,9.67,진행 중,-,-,-,691,13.994211,25,,0.3868,3.617945,30,4.341534,0.322333,24.0,0.402917,
