보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (USD),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (USD)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (USD),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (USD),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (USD),리드당_비용
2026-03-23,2026-03-30,251104_실프_감성에어로웨이,active,USD,클릭 후 7일 또는 조회 후 1일,,,13469,1.395724,,캠페인 예산 사용,0,180.49,진행 중,-,-,-,18799,9.601043,893,,0.202116,4.750253,981,5.218363,0.183986,825.0,0.218776,
2026-03-23,2026-03-30,260106_엘리_거실분위기_단일이미지,active,USD,클릭 후 7일 또는 조회 후 1일,,,2685,1.435009,,캠페인 예산 사용,0,53.74,진행 중,-,-,-,3853,13.947573,212,,0.253491,5.502206,225,5.839606,0.238844,202.0,0.26604,
2026-03-23,2026-03-30,250106_실프_오동나무느낌,active,USD,클릭 후 7일 또는 조회 후 1일,,,4384,1.265283,,캠페인 예산 사용,0,58.29,진행 중,-,-,-,5547,10.508383,330,,0.176636,5.949162,395,7.120966,0.14757,317.0,0.18388,
2026-03-23,2026-03-30,260202_엘리_설치한번으로 공간이,active,USD,클릭 후 7일 또는 조회 후 1일,,,101,1.326733,,캠페인 예산 사용,0,2.99,진행 중,-,-,-,134,22.313433,4,,0.7475,2.985075,8,5.970149,0.37375,4.0,0.7475,
2026-03-23,2026-03-30,260202_엘리_날개가다르면,active,USD,클릭 후 7일 또는 조회 후 1일,,,212,1.396226,,캠페인 예산 사용,0,7.59,진행 중,-,-,-,296,25.641892,10,,0.759,3.378378,14,4.72973,0.542143,7.0,1.084286,
2026-03-23,2026-03-30,260304_엘리_인테리어내용_이미지2,active,USD,클릭 후 7일 또는 조회 후 1일,,,7,1.142857,,캠페인 예산 사용,0,0.19,진행 중,-,-,-,8,23.75,1,,0.19,12.5,1,12.5,0.19,,,
2026-03-23,2026-03-30,260304_실프_설치한번으로 공간이_이미지4,active,USD,클릭 후 7일 또는 조회 후 1일,,,439,1.494305,,캠페인 예산 사용,0,11.71,진행 중,-,-,-,656,17.85061,30,,0.390333,4.573171,39,5.945122,0.300256,31.0,0.377742,
2026-03-23,2026-03-30,250304_실프_요즘대세는_이미지3,active,USD,클릭 후 7일 또는 조회 후 1일,,,544,1.457721,,캠페인 예산 사용,0,13.28,진행 중,-,-,-,793,16.746532,51,,0.260392,6.431274,58,7.313997,0.228966,47.0,0.282553,
2026-03-23,2026-03-30,260304_실프_인테리어고수_영상,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,15,1.133333,,캠페인 예산 사용,0,0.38,진행 중,-,-,-,17,22.352941,0,,,,1,5.882353,0.38,,,
2026-03-23,2026-03-30,260312_엘리_설치한번으로 공간이_이미지1,active,USD,클릭 후 7일 또는 조회 후 1일,,,2680,1.449627,,캠페인 예산 사용,0,46.95,진행 중,-,-,-,3885,12.084942,166,,0.282831,4.272844,203,5.225225,0.231281,163.0,0.288037,
2026-03-23,2026-03-30,260312_엘리_설치한번으로 공간이_이미지2,active,USD,클릭 후 7일 또는 조회 후 1일,,,24,1.125,,캠페인 예산 사용,0,0.35,진행 중,-,-,-,27,12.962963,1,,0.35,3.703704,1,3.703704,0.35,1.0,0.35,
2026-03-23,2026-03-30,260312_엘리_설치한번으로 공간이_영상,active,USD,클릭 후 7일 또는 조회 후 1일,,,99,1.111111,,캠페인 예산 사용,0,1.8,진행 중,-,-,-,110,16.363636,2,,0.9,1.818182,3,2.727273,0.6,2.0,0.9,
